no,nama_wisata,jenis_wisata,lokasi,kecamatan,deskripsi,waktu_buka,harga_tiket,wahana,fasilitas,status_kepemilikan,pengelola,media_sosial,link_koordinat
1,Pantai Tirta Samudra (Bandengan),"WISATA ALAM, WISATA MINAT KHUSUS, WISATA BUATAN, WISATA EDUKASI","Desa Bandengan,  Kecamatan Jepara",Jepara,"Pantai Tirta Samudra atau yang dikenal oleh masyarakat umum dengan sebutan Pantai Bandengan terletak 7 km sebelah utara dari pusat kota. Pantai berpasir putih serta berlaut jernih, menjadikan Pantai ini salah satu pantai favorit bagi wisatawan untuk bersantai maupun mandi laut.","Setiap Hari, Pukul 07.00 – 17.00","1. Hari Biasa, Akhir Pekan & Libur National :
    - Dewasa : Rp 10.000
    - Anak - anak : Rp 5.000

2. Pekan Syawalan / Pesta Lomban / Pekan Natal dan Tahun Baru / Event Lainnya :
    - Dewasa : Rp 15.000
    - Anak - anak : Rp 10.000","1. Transportasi ke Pulau Panjang - Rp 25.000 
2. Wahana Water Sport : 
     > Jetsky - Rp 250.000/15 menit
     > Banana Boat - Rp 50.000/orang
3. Persewaan Tikar - Rp 20.000 / tikar
4. Persewaan Kano - Rp ... / kano
5. Persewaan Pelampung :
     > Pelampung Bebek - Rp 10.000
     > Pelampung Ban - Rp 20.000 & Rp 25.000
6. Persewaan Kapal Karet - Rp ... / kapal
7. Persewaan ATV :
     > Hari Senin - Jumat : Rp 15.000 / 15menit
     > Hari Sabtu, Minggu Dan Libur Nasional : Rp 20.000 / 15menit
     > Pekan Syawalan / Pesta Lomban / Pekan Natal dan Tahun Baru / Event Lainnya : Rp 20.000 / 15menit
8. Persewaan Skuter Listrik - Rp ...","1. Tempat Parkir
2. Tempat Ibadah
3. Lapangan Sepak Bola
4. Panjat Tebing (Wall Climbing)
5. Dermaga Penyeberangan Pulau Panjang
6. Tempat / Kamar Mandi Bilas dan ramah disabilitas
7. Tourist Information Center
8. Gedung Serbaguna
9. Area Camp
10. Lapangan Woodball
11. Gardu Pandang
12. Menara Pemantau Keselamatan Wisatawan
13. Spot Foto Berlatar Tuliasan I Love Pantai Bandengan
14. Toko Cinderamata
15. Toko dan Warung Kuliner
16. Penginapan atau Hotel di dalam dan sekitar destinasi wisata
17. Gazebo dan Paseban tempat berteduh wisatawan",PEMDA / DINAS,Arif Junaidi,,https://www.google.com/search?q=https://www.google.com/maps/search/Pantai%2BBandengan%2BJepara
2,Pantai Kartini,"WISATA ALAM, WISATA MINAT KHUSUS, WISATA BUATAN, WISATA EDUKASI","Kelurahan Bulu, Kecamatan Jepara",Jepara,"Pantai Kartini terletak 2,5 km ke arah barat dari Pendopo Kabupaten Jepara. Pantai Kartini dibuka sejak 1923.Pantai ini dahulu sering dikunjungi RA. Kartini beserta keluarga. Konon pada salah satu tempat dipinggiran pantai kartini merupakan tempat yang sakti dan sering digunakan masyarakat jepara pada zaman dahulu untuk mandi laut untuk mendapatkan keberkahannya.","Setiap Hari, Pukul 07.00 – 17.00","1. Hari Biasa, Akhir Pekan & Libur National :
    - Dewasa : Rp 10.000
    - Anak - anak : Rp 5.000

2. Pekan Syawalan / Pesta Lomban / Pekan Natal dan Tahun Baru / Event Lainnya :
    - Dewasa : Rp 15.000
    - Anak - anak : Rp 10.000","1. Transportasi ke Pulau Panjang - Rp 25.000
2. Persewaan Motor Kecil - Rp ...
3. Jasa Foto dan Cetak - Rp ...","1. Tempat Parkir
2. Tempat Ibadah
3. Lapangan dan Panggung Hiburan
4. Kolam Kecek
5. Spot Foto
6. Icon Jepara ""Kura - Kura Ocean Park""
7. Toko Cinderamata
8. Warung Kuliner
9. Penginapan atau Hotel di dalam destinasi wisata
10. Dermaga Penyeberangan Pulau Panjang
11. Kamar Mandi atau Toilet
12. Tourist Information Center
13. Penangkaran Unggas
14. Rumah Pohon
15. Besebelahan dengan Pelabuhan Kartini, pelabuhan penyebrangan ke karimunjawa
16. Branding Nama "" Pantai Kartini ""

KURA-KURA OCEAN PARK (Icon Jepara):
Wahana Edukasi Bawah Laut dengan aquarium raksasa berbentuk kura-kura.

Jam Operasional:
- Setiap Hari, Pukul 07.00 – 17.00

Harga Tiket Masuk:
1. Hari Senin - Jumat:
   - Dewasa: Rp 13.000
   - Anak-anak: Rp 8.000

2. Hari Sabtu, Minggu & Libur Nasional:
   - Dewasa: Rp 18.000
   - Anak-anak: Rp 13.000

3. Pekan Syawalan/Lomban/Natal/Tahun Baru:
   - Dewasa: Rp 20.000
   - Anak-anak: Rp 15.000

Wahana Tambahan:
• Fish Spa (Spa Ikan): Rp 10.000 - Rp 15.000
• Theater 3D Kura-Kura: Rp 5.000 - Rp 10.000

Fasilitas:
- Aquarium Aquascape
- Wahana Permainan Edukasi Anak
- Theater 3D
- Toilet & Lampu Penerangan",PEMDA / DINAS,Edi Kandono,,https://maps.app.goo.gl/6yPihLYov784sLwu5
3,Benteng Portugis,"WISATA ALAM, WISATA BUATAN, WISATA EDUKASI, WISATA SEJARAH, WISATA MINAT KHUSUS","Desa Banyumanis, Kecamatan Donorojo",Donorojo,"Benteng ini dibangun di atas sebuah bukit batu di pinggir laut dan persis di depannya terhampar Pulau  Mandalika. Perpaduan wisata alam dan sejarah berupa ""Benteng"" peninggalan dari bangsa portugis saat menduduki jepara tempo dulu","Setiap Hari, Pukul 07.00 – 17.00","1. Hari Biasa, Akhir Pekan & Libur National :
    - Dewasa : Rp 8.000
    - Anak - anak : Rp 5.000

2. Pekan Syawalan / Pesta Lomban / Pekan Natal dan Tahun Baru / Event Lainnya :
    - Dewasa : Rp 15.000
    - Anak - anak : Rp 10.000","1. Kolam Renang :
     > Hari Senin - Jumat : Rp 10.000
     > Hari Sabtu, Minggu Dan Libur Nasional : Rp 15.000
     > Pekan Syawalan / Pesta Lomban / Pekan Natal dan Tahun Baru / Event Lainnya : Rp 15.000

2. Paviliun Benteng Portugis :
     > Hari Senin - Minggu : Rp 200.000
     > Pekan Syawalan / Pesta Lomban / Pekan Natal dan Tahun Baru / Event Lainnya : Rp 250.000","1. Akses jalan menuju lokasi destinasi beraspal dan lebar
2. Area Parkir yang Luas
3. Spot Photo
4. Rumah pohon
5. Terdapat Batuan Andesit di sisi belakang benteng portugis
6. Terdapat Beberapa peninggalan yang terpajang (Meriam)
7. Gedung Serbaguna
8. Tempat Ibadah
7. Gazebo
8. Gardu Pandang
9. Branding Nama ""Benteng Portugis""",PEMDA / DINAS,Agus Tiyanto,,https://maps.app.goo.gl/phbCnavj97BwP27r8
4,Pantai Mororejo (Pungkruk),"WISATA ALAM, WISATA MINAT KHUSUS","Desa Mororejo, Kecamatan Mlonggo",Mlonggo,"Pantai Mororejo atau yang lebih dikenal dengan nama ""Pantai Pungkruk"" ialah destinasi wisata berkonsep Wisata Kuliner dengan latar Pantai. Kuliner yang disajikan pada destinasi ini kuliner seafood. Destinasi ini pula sering digunakan para Mancing Mania untuk mengasah hobinya.",Setiap Hari,"1. Hari Biasa, Akhir Pekan & Libur National :
    - Dewasa : Rp 8.000
    - Anak - anak : Rp 5.000

2. Pekan Syawalan / Pesta Lomban / Pekan Natal dan Tahun Baru / Event Lainnya :
    - Dewasa : Rp 15.000
    - Anak - anak : Rp 10.000",Wahana Permaianan Anak,"1. Akses Jalan Beraspal
2. Toko dan Warung Kuliner
3. Area Parkir Luas",PEMDA / DINAS,Lukman,,https://maps.app.goo.gl/gWNmW9bifA1DkNQR9
5,Pulau Panjang,"WISATA ALAM, WISATA BAHARI, WISATA RELIGI","Terdapat di sebelah barat Pantai Kartini berjarak kurang lebih 2,5 km",Jepara,Pulau Panjang dengan luas Kurang lebih 19 hektare ini sangat dengan pusat kota jepara. Dahulu kawasan ini sering dikunjungi oleh para peziarahSaat ini destinasi ini sangat disukai oleh muda mudi untuk camping,"Setiap Hari, Pukul 07.00 – 17.00 (Menyesuaikan armada transportasi dan cuaca)","1. Hari Biasa, Akhir Pekan & Libur National :
    - Dewasa : Rp 8.000
    - Anak - anak : Rp 5.000

2. Pekan Syawalan / Pesta Lomban / Pekan Natal dan Tahun Baru / Event Lainnya :
    - Dewasa : Rp 15.000
    - Anak - anak : Rp 10.000","1. Water Sport :
     > Jetsky - Rp ...
     > Peralatan Snorkling - Rp ...
     > Peralatan Diving - Rp ...
2. Persewaan Sepeda - Rp ....
3. Persewaan Tikar - Rp ...
4. Persewaan Peralatan Outbound :
     > Tenda atau Camp - Rp ...
     > Sleeping Bag - Rp ...
     > Peralatan barbeque - Rp ...
     > Matras - Rp ...
     > Kompor Kecil - Rp ...","1. Dermaga Kapal
2. Tracking jalan memutar pulau
3. Area Outbound
4. Spot Snorkling
5. Spot Diving
6. Gardu Pandang
7. Menara Mecusuar
8. Dive Center Pulau Panjang Office
9. Makam Syekh Abu Bakar
10. Toilet atau Kamar Mandi
11. Branding Nama ""Pulau Panjang""",PEMDA / DINAS,Edi Kandono,,https://maps.app.goo.gl/WAebA5K5ZGeRYe4S6
6,Pulau Mandalika,"WISATA RELIGI, WISATA ALAM, WISATA MINAT KHUSUS",Terdapat di sebelah utara Benteng Portugis berjarak kurang lebih 2 km,Donorojo,"Pulau Mandalika ialah pulau yang berada di sebelah utara destinasi wisata benteng portugis, jarak antara pulau mandalika dan benteng portugis kurang lebih 2km.","Setiap Hari, Pukul 07.00 – 17.00 (Menyesuaikan armada transportasi dan cuaca)",-,"1. Petilasan atau Makam Adipati Patak Warak
2. Petilasan atau Makam Sayid Usman","1. Dermaga atau pelabuhan kapal
2. Solar Lamp
3. Mercusuar
4. Jalan cor
5. Tempat Ibadah
6. Toilet atau Kamar Mandi",PEMDA / DINAS,Agus Tiyanto,,https://maps.app.goo.gl/6Lag5LhbJExoB5sbA
7,Gua Tritip,"WISATA ALAM, WISATA SEJARAH, WISATA EDUKASI","Desa Jung Watu, Kecamatan Keling atau 45 Km sebelah utara kota jepara",Keling atau,"Gua Tritip adalah salah satu destinasi wisata alam yang menawarkan perpaduan antara keindahan alam dan nilai sejarah, terletak di desa Ujungwatu, Kecamatan Donorojo, Kabupaten Jepara, Jawa Tengah.

Daya Tarik Utama
Keindahan Stalaktit dan Stalagmit: Seperti gua pada umumnya, Gua Tritip memiliki formasi batuan kapur yang indah, seperti stalaktit (gugusan kapur yang menggantung dari langit-langit gua) dan stalagmit (gugusan kapur yang muncul dari dasar gua). Formasi ini terbentuk secara alami selama ribuan tahun dan menjadi pemandangan utama di dalam gua.

Pemandangan Alam Sekitar: Gua ini berada di kawasan perbukitan kapur, sehingga pengunjung dapat menikmati pemandangan alam yang asri dan hijau di sekitarnya sebelum atau sesudah menjelajahi gua.

Akses yang Mudah: Gua Tritip umumnya cukup mudah diakses, menjadikannya pilihan yang baik bagi wisatawan keluarga.

Nilai Sejarah dan Budaya
Gua Tritip juga dikenal memiliki nilai sejarah dan legenda yang erat kaitannya dengan kisah-kisah di masa lalu, meskipun detail spesifiknya seringkali bervariasi dalam cerita rakyat setempat. Beberapa cerita mengaitkannya dengan tempat pertapaan atau persembunyian tokoh-tokoh penting di masa lampau, yang menambah nuansa mistis dan menarik untuk dieksplorasi.

Informasi Praktis
Lokasi: Ujungwatu, Donorojo, Kabupaten Jepara, Jawa Tengah.

Akses: Dapat dijangkau dengan kendaraan pribadi atau transportasi lokal.

Fasilitas: Biasanya, di sekitar lokasi gua tersedia fasilitas standar seperti tempat parkir dan warung makan sederhana.

Secara keseluruhan, Gua Tritip menawarkan pengalaman wisata yang lengkap, memadukan pesona geologi alam dengan kekayaan cerita lokal Jepara.","Setiap Hari, Pukul 07.00 – 17.00","1. Hari Biasa, Akhir Pekan & Libur National :
    - Dewasa : Rp 8.000
    - Anak - anak : Rp 5.000

2. Pekan Syawalan / Pesta Lomban / Pekan Natal dan Tahun Baru / Event Lainnya :
    - Dewasa : Rp 15.000
    - Anak - anak : Rp 10.000",-,,PEMDA / DINAS,Agus Tiyanto,,https://maps.app.goo.gl/1webrs5Hy4Kfag6g8
8,Gua Manik,"WISATA ALAM, WISATA SEJARAH","Desa Banyumanis, Kecamatan Donorojo, Kabupaten Jepara, Jawa Tengah",Donorojo,"Meskipun namanya adalah ""Gua Manik,"" destinasi ini lebih populer sebagai sebuah pantai yang indah dan unik, yang terletak di Desa Banyumanis, Kecamatan Donorojo, Kabupaten Jepara, Jawa Tengah.

1. Keunikan Lokasi dan Nama
Bukan Hanya Gua: Daya tarik utama dari lokasi ini adalah pantainya, yang dikenal juga dengan nama Pantai Pecatu atau Pantai Gua Manik Pecatu Park. Konon, nama ""Gua Manik"" diambil karena lokasinya yang berdekatan dengan gua atau situs pertapaan kuno, bukan karena gua itu sendiri menjadi pusat wisata.

Warna Pasir Eksotis: Pantai ini memiliki hamparan pasir berwarna cokelat yang lembut, memberikan nuansa eksotis yang berbeda dari pantai berpasir putih lainnya di Jepara.

Pemandangan Bukit dan Karang: Pantai Gua Manik diapit oleh perbukitan batu kapur dan deretan pepohonan rindang di sepanjang garis pantai, menjadikannya tempat yang sejuk dan asri. Di beberapa sisi, terdapat tebing-tebing karang yang menambah nilai keindahan panoramanya.

2. Daya Tarik dan Aktivitas Utama
Pantai Gua Manik menawarkan suasana yang relatif tenang dan nyaman, cocok untuk bersantai dan menikmati alam:

Pemandangan Sunrise dan Sunset: Lokasinya memungkinkan pengunjung untuk menikmati momen matahari terbit dan terbenam dari satu tempat yang sama, menjadikannya favorit bagi para penggemar fotografi.

Akses ke Spot Terdekat: Pantai ini terletak sangat dekat dengan Benteng Portugis, hanya dipisahkan oleh anak sungai kecil. Pengunjung sering menggabungkan kunjungan ke kedua tempat ini. Selain itu, Pulau Mandalika juga dapat terlihat jelas dari pantai.

Aktivitas Seru: Selain berenang dan bermain pasir di airnya yang cukup landai, beberapa aktivitas yang tersedia meliputi:

Trekking santai di area bukit sekitar pantai untuk mendapatkan pemandangan yang lebih luas.

Menyewa ATV atau motor trail mini untuk berkeliling di sepanjang pantai.

3. Nilai Sejarah dan Mitos
Sesuai namanya, Gua Manik juga menyimpan nilai sejarah dan legenda.

Legenda Begawan: Konon, di lokasi tersebut terdapat gua yang digunakan oleh seorang tokoh bernama Begawan Manikyoso untuk bertapa (bersemedi) di masa lalu.

Ratu Johar Manik: Mitos lain menyebutkan bahwa gua ini adalah tempat Ratu Johar Manik bertapa. Beberapa mitos bahkan menyebutkan bahwa gua kecil di sana hanya dapat dilihat dengan ""mata batin"" atau setelah melakukan ritual tertentu.

Latar Belakang Sosial: Kawasan ini juga memiliki sejarah unik karena dulunya merupakan aset yang dimanfaatkan untuk menunjang terapi bagi penderita kusta dari Rumah Sakit Kusta Donorojo, dengan tujuan pemberdayaan ekonomi dan interaksi sosial.

Secara umum, Gua Manik adalah destinasi pantai yang lengkap di Jepara Utara, memadukan keindahan alam pesisir, suasana damai, dan nuansa sejarah yang menarik.",Setiap Hari,,"1. ATV
2. Motor Trail
3. Jeep Wisata","1. Penginapan
2. Warung / UMKM
3. Tempat Ibadah",PEMPROV,,,https://maps.app.goo.gl/NXYXCFqfAF1jBdnMA
9,Pantai Ketapang,WISATA ALAM,"Desa Bandungharjo, Kecamatan Donorojo, Kabupaten Jepara",Donorojo,"Pantai Ketapang adalah destinasi wisata pantai yang terletak di Desa Bandungharjo, Kecamatan Donorojo, Kabupaten Jepara. Meskipun Jepara memiliki banyak pantai yang terkenal, Pantai Ketapang menawarkan suasana yang lebih tenang dan alami, menjadikannya pilihan ideal bagi pengunjung yang ingin melepaskan diri dari hiruk pikuk keramaian.

Daya Tarik dan Suasana
Pohon Ketapang Rindang: Sesuai namanya, salah satu ciri khas utama pantai ini adalah banyaknya pohon Ketapang yang tumbuh subur di sepanjang garis pantai. Pohon-pohon rindang ini menciptakan area yang sejuk dan nyaman, sangat cocok untuk bersantai, menggelar tikar, atau sekadar menikmati semilir angin laut.

Pemandangan Pesisir Utara: Pantai ini berada di kawasan pesisir utara Jepara, menghadap langsung ke Laut Jawa. Pemandangannya luas dan menenangkan, seringkali dilengkapi dengan siluet perahu nelayan tradisional yang sedang melaut.

Wisata Lokal dan Keluarga: Pantai Ketapang dikelola secara lokal dan memiliki nuansa yang sangat ramah keluarga. Area pantai yang cukup landai dan ombak yang tidak terlalu besar memungkinkan pengunjung untuk bermain air dengan aman.

Fasilitas dan Aktivitas
Meskipun lebih sederhana dibandingkan pantai ikonik Jepara lainnya, Pantai Ketapang terus dikembangkan untuk kenyamanan pengunjung, dengan beberapa fasilitas dasar yang memadai:

Tempat Santai: Tersedia banyak tempat untuk duduk santai di bawah rindangnya pohon Ketapang.

Warung Makanan: Di sekitar pantai, banyak dijumpai warung-warung makan sederhana yang menjual hidangan laut segar dan makanan ringan khas pesisir.

Akses Mudah: Lokasinya relatif mudah dijangkau dengan kendaraan pribadi.

Lokasi dan Petunjuk Singkat
Pantai Ketapang terletak di bagian utara Jepara, di Kecamatan Donorojo. Letaknya yang berada di jalur pesisir menjadikan pantai ini sering menjadi persinggahan bagi wisatawan yang menjelajahi wilayah utara Jepara.

Perlu dicatat bahwa Jepara juga memiliki beberapa destinasi dengan nama serupa (seperti Pantai Ketapang di Karimunjawa), namun yang berada di Bandungharjo ini menonjolkan suasana pantai daratan yang sejuk dengan ciri khas vegetasi pohon Ketapang yang lebat.",Setiap Hari,,,,,,,https://maps.app.goo.gl/i34K4RDAa5CDgqoT6
10,Pantai Congok Kebo,WISATA ALAM,"Desa Bandungharjo, Kecamatan Donorojo, Jepara",Donorojo,"Pantai Congok Kebo adalah salah satu pantai yang tersembunyi dan lebih off-the-beaten-track di Jepara bagian utara, menawarkan nuansa yang sangat berbeda dari pantai-pantai wisata yang ramai.

1. Karakteristik Alam
Pantai Tersembunyi: Lokasinya yang agak jauh dari pusat keramaian dan pemukiman warga menjadikannya destinasi yang cocok bagi pecinta petualangan atau yang mencari ketenangan. Beberapa sumber bahkan menyebut tempat ini sebagai ""surga tersembunyi"" di Jepara.

Pemandangan Alami: Pantai ini mempertahankan keaslian alamnya. Pemandangan khasnya adalah garis pantai yang sepi, perpaduan antara laut lepas dan area yang mungkin masih banyak ditumbuhi vegetasi pesisir.

Ombak dan Kondisi Pantai: Mengingat lokasinya berada di pesisir utara, ombak di pantai ini relatif lebih tenang. Namun, kondisi pantai bisa sangat alami, dengan beberapa area berlumpur atau berkarang yang membutuhkan kehati-hatian.

2. Daya Tarik Khusus
Wisata Menantang: Karena lokasinya yang tidak sepadat pantai utama, Pantai Congok Kebo sering dikunjungi oleh mereka yang mencari pengalaman wisata yang lebih menantang dan eksploratif.

Sisa Bangunan Non-Aktif: Di sekitar pantai ini, ada laporan mengenai keberadaan beberapa bangunan yang telah terbengkalai, yang dulunya mungkin terkait dengan dermaga atau aktivitas pelabuhan di masa lalu. Sisa-sisa bangunan ini bisa menjadi spot foto yang unik, namun pengunjung diimbau untuk selalu berhati-hati.

Dekat dengan Benteng Portugis: Lokasi Pantai Congok Kebo berdekatan dengan Benteng Portugis, sebuah situs bersejarah ikonik di Jepara.

3. Tips dan Catatan Penting
Karena Pantai Congok Kebo lebih bersifat destinasi tersembunyi dan mungkin belum memiliki pengelolaan wisata yang masif (seperti Pantai Gua Manik atau Bandengan), beberapa hal yang perlu diperhatikan adalah:

Akses Jalan: Akses menuju lokasi mungkin lebih sulit dan memerlukan kehati-hatian, terutama jika Anda membawa kendaraan.

Fasilitas: Fasilitas umum seperti toilet atau warung makan mungkin terbatas, jadi disarankan untuk membawa perbekalan yang cukup.

Keselamatan: Karena lokasinya yang sepi, penting untuk tidak berkunjung sendirian dan selalu waspada terhadap lingkungan sekitar.

Secara keseluruhan, Pantai Congok Kebo menawarkan pengalaman berbeda, lebih dekat dengan alam liar dan sepi, ideal bagi mereka yang menikmati exploring dan petualangan di balik destinasi wisata utama.",Setiap Hari,,,,,,,https://maps.app.goo.gl/7xJDXiG2A2XnK9VX6
