No,Nama Wisata,Kategori,Lokasi (Kecamatan),Titi Koordinat,Jam Operasional,Harga Tiket,Deskripsi,Noted,,,,,,No,Nama Wisata,Foto,
1,Pantai Kartini,Wisata Alam,Jepara,Buka Maps,07.00 - 19.00,"Rp10,000",Ikon utama Jepara dengan dermaga penyeberangan.,Pembayaran tunai; parkir luas.,,,,,,1,Pantai Kartini,1,2
2,Pantai Bandengan,Wisata Alam,Jepara,Buka Maps,07.00 - 18.00,Rp10.000 - Rp15.000,Pantai pasir putih dengan fasilitas water sport lengkap.,Sangat ramai saat akhir pekan.,,,,,,2,Pantai Bandengan,,
3,Songgolangit,Wisata Alam,Kembang,Buka Maps,07.00 - 17.00,"Rp10,000",Air terjun tinggi dengan pemandangan tebing alam.,Jalur akses cukup menanjak.,,,,,,3,Songgolangit,3,4
4,Karimunjawa,Wisata Alam,Karimunjawa,Buka Maps,24 Jam,Rp130k+ (Kapal),Taman Nasional Laut dengan spot snorkeling terbaik.,Perlu booking kapal jauh hari.,,,,,,4,Karimunjawa,,
5,Pulau Panjang,Wisata Alam,Jepara,Buka Maps,07.30 - 16.00,Rp25.000 (Kapal),Pulau kecil berpasir putih untuk snorkeling/camping.,Akses perahu via Pantai Kartini.,,,,,,5,Pulau Panjang,5,6
6,Pantai Blebak,Wisata Alam,Mlonggo,Buka Maps,24 Jam,"Rp5,000","Pantai dangkal dan tenang, aman untuk anak-anak.",Banyak warung seafood murah.,,,,,,6,Pantai Blebak,,
7,Pantai Teluk Awur,Wisata Alam,Tahunan,Buka Maps,24 Jam,Gratis (Bayar Parkir),Spot populer untuk melihat sunset di pinggir pantai.,Lokasi dekat dengan Unisnu.,,,,,,7,Pantai Teluk Awur,7,8
8,Pantai Empu Rancak,Wisata Alam,Mlonggo,Buka Maps,07.00 - 17.00,"Rp5,000",Sentra kuliner ikan bakar khas Jepara.,Cocok untuk makan siang keluarga.,,,,,,8,Pantai Empu Rancak,,
9,Pantai Pailus,Wisata Alam,Mlonggo,Buka Maps,24 Jam,"Rp5,000","Pantai ""perawan"" yang sangat asri dan belum banyak bangunan.",Bawa bekal (minim fasilitas).,,,,,,9,Pantai Pailus,9,10
10,Pantai Bringin,Wisata Alam,Keling,Buka Maps,07.00 - 18.00,"Rp5,000",Pantai dengan deretan pohon beringin yang teduh.,Lokasi di utara Jepara.,,,,,,10,Pantai Bringin,,
11,Pantai Bondo,Wisata Alam,Bangsri,Buka Maps,24 Jam,Rp5.000 - Rp10.000,Pantai tanpa ombak (Ombak Mati) dengan cafe kekinian.,Vibes mirip Bali di sore hari.,,,,,,11,Pantai Bondo,11,12
12,Pulau Mandalika,Wisata Alam,Donorojo,Buka Maps,07.00 - 16.00,Rp30k (Sewa Perahu),Pulau depan Benteng Portugis dengan mercusuar tua.,Akses via perahu nelayan.,,,,,,12,Pulau Mandalika,,
